Set,Crop,Clean,Hazed-Dehazed
s03,c00,f210402t01p00r09,f210324t01p00r11
s03,c02,f210402t01p00r09,f210324t01p00r11
s03,c05,f210402t01p00r09,f210324t01p00r11
s03,c14,f210402t01p00r09,f210324t01p00r11
s03,c15,f210402t01p00r09,f210324t01p00r11
s03,c16,f210402t01p00r09,f210324t01p00r11
s03,c19,f210402t01p00r09,f210324t01p00r11
s05,c01,f110815t01p00r05,f110817t01p00r07
s05,c02,f110815t01p00r05,f110817t01p00r07
s05,c03,f110815t01p00r05,f110817t01p00r07
s05,c04,f110815t01p00r05,f110817t01p00r07
s10,c05,f151002t01p00r09,f141027t01p00r08
s10,c08,f151002t01p00r09,f141027t01p00r08
s11,c01,f131031t01p00r10,f131122t01p00r13
s11,c02,f131031t01p00r10,f131122t01p00r13
s12,c05,f151002t01p00r10,f141027t01p00r09
s13,c06,f151002t01p00r12,f141027t01p00r11
s13,c11,f131031t01p00r12,f141027t01p00r11
s13,c12,f151002t01p00r12,f141027t01p00r11
s15,c04,f130410t01p00r16,f140418t01p00r10
s17,c04,f170209t01p00r08,f170208t01p00r13
